Hora,ADC
16:40:50.676,8656
16:40:50.716,8811
16:40:50.756,8798
16:40:50.797,8702
16:40:50.837,8666
16:40:50.877,8733
16:40:50.917,8871
16:40:50.956,8768
16:40:50.995,8707
16:40:51.036,8577
16:40:51.076,8430
16:40:51.115,8374
16:40:51.156,8354
16:40:51.196,8374
16:40:51.237,8220
16:40:51.276,8324
16:40:51.315,8426
16:40:51.355,8439
16:40:51.396,8454
16:40:51.436,8463
16:40:51.475,8524
16:40:51.517,8567
16:40:51.556,8635
16:40:51.596,8580
16:40:51.636,8554
16:40:51.678,8599
16:40:51.716,8649
16:40:51.756,8677
16:40:51.796,8646
16:40:51.837,8581
16:40:51.877,8619
16:40:51.917,8667
16:40:51.956,8681
16:40:51.996,8564
16:40:52.036,8277
16:40:52.076,8296
16:40:52.117,8426
16:40:52.157,8522
16:40:52.196,8472
16:40:52.236,8513
16:40:52.276,8607
16:40:52.317,8589
16:40:52.356,8584
16:40:52.396,8636
16:40:52.435,8550
16:40:52.477,8610
16:40:52.516,8798
16:40:52.556,8789
16:40:52.596,8722
16:40:52.636,8531
16:40:52.675,8649
16:40:52.715,8708
16:40:52.755,8725
16:40:52.796,8762
16:40:52.836,8594
16:40:52.875,8533
16:40:52.915,8539
16:40:52.955,8399
16:40:52.997,8383
16:40:53.038,8305
16:40:53.075,8355
16:40:53.115,8459
16:40:53.156,8532
16:40:53.195,8518
16:40:53.237,8453
16:40:53.277,8459
16:40:53.316,8613
16:40:53.357,8641
16:40:53.396,8577
16:40:53.436,8541
16:40:53.477,8591
16:40:53.516,8688
16:40:53.556,8724
16:40:53.597,8625
16:40:53.636,8586
16:40:53.675,8615
16:40:53.717,8609
16:40:53.756,8585
16:40:53.795,8342
16:40:53.836,8332
16:40:53.876,8395
16:40:53.915,8469
16:40:53.957,8514
16:40:53.997,8443
16:40:54.036,8437
16:40:54.075,8405
16:40:54.116,8506
16:40:54.155,8523
16:40:54.196,8550
16:40:54.237,8503
16:40:54.275,8474
16:40:54.316,8566
16:40:54.355,8643
16:40:54.396,8685
16:40:54.436,8579
16:40:54.476,8573
16:40:54.516,8653
16:40:54.556,8636
16:40:54.596,8559
16:40:54.636,8403
16:40:54.677,8200
16:40:54.716,8190
16:40:54.756,8301
16:40:54.796,8342
16:40:54.838,8324
16:40:54.877,8320
16:40:54.918,8377
16:40:54.958,8499
16:40:54.997,8491
16:40:55.036,8459
16:40:55.076,8466
16:40:55.117,8582
16:40:55.157,8693
16:40:55.197,8683
16:40:55.236,8631
16:40:55.276,8577
16:40:55.315,8605
16:40:55.356,8646
16:40:55.397,8553
16:40:55.437,8569
16:40:55.476,8593
16:40:55.515,8744
16:40:55.555,8667
16:40:55.595,8332
16:40:55.637,8190
16:40:55.676,8156
16:40:55.717,8169
16:40:55.756,8192
16:40:55.796,8173
16:40:55.836,8130
16:40:55.877,8075
16:40:55.915,8076
16:40:55.955,8129
16:40:55.996,8182
16:40:56.036,8178
16:40:56.076,8184
16:40:56.116,8313
16:40:56.156,8462
16:40:56.197,8463
16:40:56.237,8382
16:40:56.276,8358
16:40:56.318,8466
16:40:56.357,8503
16:40:56.397,8604
16:40:56.436,8686
16:40:56.476,8490
16:40:56.519,8412
16:40:56.556,8390
16:40:56.597,8111
16:40:56.636,8047
16:40:56.675,7998
16:40:56.716,8095
